epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
120,10278.8,1.25534,0.50251,1.06189,0.92048,0.8125,0.88089,0.34011,1.85457,0.82419,1.38215,0.0004292,0.0004292,0.0004292
121,10368.2,1.19497,0.48487,1.00503,0.90654,0.83721,0.886,0.33672,1.85864,0.76039,1.37652,0.000416,0.000416,0.000416
122,10456.7,1.21903,0.49133,1.05502,0.89812,0.83333,0.88135,0.33501,1.88755,0.83522,1.39227,0.0004028,0.0004028,0.0004028
123,10545,1.23537,0.516,1.05218,0.9055,0.83649,0.87792,0.33959,1.86105,0.71131,1.37745,0.0003896,0.0003896,0.0003896
124,10634.3,1.21799,0.49383,1.03221,0.88625,0.84226,0.87678,0.33823,1.88173,0.77327,1.39238,0.0003764,0.0003764,0.0003764
125,10724,1.22525,0.49879,1.0184,0.89931,0.84226,0.87234,0.33594,1.82507,0.72356,1.38697,0.0003632,0.0003632,0.0003632
126,10812.4,1.20483,0.47966,1.01124,0.88156,0.8418,0.87687,0.34186,1.87466,0.88275,1.39946,0.00035,0.00035,0.00035
127,10900.4,1.21553,0.48903,1.02471,0.9109,0.85193,0.88584,0.34203,1.8744,0.8092,1.39285,0.0003368,0.0003368,0.0003368
128,10987.8,1.22673,0.49244,1.03088,0.90001,0.84226,0.88004,0.33459,1.89068,0.91206,1.39341,0.0003236,0.0003236,0.0003236
129,11072.4,1.22102,0.49831,1.03758,0.8975,0.84722,0.87668,0.32944,1.85259,0.77682,1.38494,0.0003104,0.0003104,0.0003104
130,11161.2,1.22172,0.47494,1.0337,0.8933,0.85516,0.89091,0.34531,1.84423,0.77405,1.37125,0.0002972,0.0002972,0.0002972
131,11249.5,1.15278,0.45904,0.98707,0.89572,0.8502,0.89103,0.3398,1.83362,0.6965,1.37558,0.000284,0.000284,0.000284
132,11338.9,1.21478,0.48379,1.04699,0.89758,0.8373,0.87792,0.33544,1.86752,0.78907,1.39129,0.0002708,0.0002708,0.0002708
133,11427.5,1.13548,0.45652,0.95788,0.90249,0.83929,0.87626,0.33615,1.86336,0.7727,1.3901,0.0002576,0.0002576,0.0002576
134,11515.3,1.13809,0.4552,0.94209,0.90392,0.83997,0.88057,0.33837,1.84817,0.75754,1.38201,0.0002444,0.0002444,0.0002444
135,11599.4,1.19848,0.46926,1.05656,0.90091,0.83883,0.87965,0.34065,1.85597,0.74652,1.38485,0.0002312,0.0002312,0.0002312
136,11680,1.1852,0.47557,1.02389,0.89795,0.83333,0.87703,0.33508,1.84889,0.75669,1.3857,0.000218,0.000218,0.000218
137,11761.1,1.15337,0.46357,0.9992,0.88656,0.8621,0.88442,0.3433,1.84438,0.74013,1.38195,0.0002048,0.0002048,0.0002048
138,11842.8,1.20085,0.48782,1.01806,0.8953,0.83988,0.87752,0.34535,1.87083,0.75647,1.39468,0.0001916,0.0001916,0.0001916
139,11923.5,1.20982,0.46576,1.03522,0.91313,0.8373,0.88354,0.33751,1.88478,0.75628,1.40006,0.0001784,0.0001784,0.0001784
140,12005,1.23316,0.47825,1.04165,0.90444,0.8451,0.88455,0.33946,1.87338,0.75021,1.39793,0.0001652,0.0001652,0.0001652
